"sp"	"x"	"y"
"Amblyraja_radiata"	-64.442667	49.620667
"Amblyraja_radiata"	-64.482333	49.478
"Amblyraja_radiata"	-64.821333	49.605833
"Amblyraja_radiata"	-65.0105	49.4355
"Amblyraja_radiata"	-65.2205	49.559
"Amblyraja_radiata"	-65.578833	49.384667
"Amblyraja_radiata"	-65.657333	49.3495
"Amblyraja_radiata"	-65.762167	49.512167
"Amblyraja_radiata"	-65.959667	49.308833
"Amblyraja_radiata"	-66.382333	49.311333
"Amblyraja_radiata"	-66.709667	49.174833
"Amblyraja_radiata"	-67.409	49.164
"Amblyraja_radiata"	-67.797667	49.205333
"Amblyraja_radiata"	-68.142	49.0155
"Amblyraja_radiata"	-68.584667	48.879167
"Amblyraja_radiata"	-68.787833	48.7
"Amblyraja_radiata"	-68.911	48.534667
"Amblyraja_radiata"	-69.085167	48.342333
"Amblyraja_radiata"	-68.462667	48.646
"Amblyraja_radiata"	-68.414333	48.643167
"Amblyraja_radiata"	-68.285333	48.844
"Amblyraja_radiata"	-67.95	48.831667
"Amblyraja_radiata"	-67.542	48.996333
"Amblyraja_radiata"	-66.979833	49.337333
"Amblyraja_radiata"	-66.940333	49.6725
"Amblyraja_radiata"	-66.443	49.6835
"Amblyraja_radiata"	-66.189	49.694
"Amblyraja_radiata"	-66.589333	49.922333
"Amblyraja_radiata"	-66.334167	49.880167
"Amblyraja_radiata"	-65.810667	50.128667
"Amblyraja_radiata"	-65.329833	49.927667
"Amblyraja_radiata"	-65.2435	49.801
"Amblyraja_radiata"	-65.200833	50.001833
"Amblyraja_radiata"	-65.163167	50.106
"Amblyraja_radiata"	-64.547667	50.061
"Amblyraja_radiata"	-64.442	49.9855
"Amblyraja_radiata"	-62.8655	49.917333
"Amblyraja_radiata"	-62.973667	49.8915
"Amblyraja_radiata"	-63.102333	49.808167
"Amblyraja_radiata"	-62.585167	49.765
"Amblyraja_radiata"	-62.272833	49.852833
"Amblyraja_radiata"	-62.006833	49.7365
"Amblyraja_radiata"	-61.820167	49.8135
"Amblyraja_radiata"	-61.866833	50.092833
"Amblyraja_radiata"	-61.417667	49.853833
"Amblyraja_radiata"	-61.234833	49.859333
"Amblyraja_radiata"	-61.245167	49.713833
"Amblyraja_radiata"	-61.770167	49.544333
"Amblyraja_radiata"	-61.300333	49.478667
"Amblyraja_radiata"	-60.802833	49.558833
"Amblyraja_radiata"	-60.666333	49.508833
"Amblyraja_radiata"	-59.627333	49.413333
"Amblyraja_radiata"	-59.588	49.663833
"Amblyraja_radiata"	-58.571667	49.248333
"Amblyraja_radiata"	-58.615	49.496667
"Amblyraja_radiata"	-59.1915	49.852667
"Amblyraja_radiata"	-58.965	49.949833
"Amblyraja_radiata"	-58.844167	50.056333
"Amblyraja_radiata"	-58.672167	50.105
"Amblyraja_radiata"	-59.154833	50.081167
"Amblyraja_radiata"	-59.356833	49.9575
"Amblyraja_radiata"	-60.058167	49.9055
"Amblyraja_radiata"	-60.367167	49.790667
"Amblyraja_radiata"	-60.633667	49.894667
"Amblyraja_radiata"	-60.656167	49.658667
"Amblyraja_radiata"	-60.804	49.365833
"Amblyraja_radiata"	-60.051833	49.218
"Amblyraja_radiata"	-60.149667	49.1645
"Amblyraja_radiata"	-60.323333	49.085833
"Amblyraja_radiata"	-61.052333	48.903
"Amblyraja_radiata"	-61.330167	48.848167
"Amblyraja_radiata"	-60.902833	48.762
"Amblyraja_radiata"	-60.456333	48.827833
"Amblyraja_radiata"	-60.6895	48.464667
"Amblyraja_radiata"	-61.046833	48.344333
"Amblyraja_radiata"	-61.0875	48.204167
"Amblyraja_radiata"	-61.6	48.4495
"Amblyraja_radiata"	-61.952333	48.578167
"Amblyraja_radiata"	-62.042833	48.628833
"Amblyraja_radiata"	-62.157333	48.7735
"Amblyraja_radiata"	-62.424667	48.795167
"Amblyraja_radiata"	-62.428667	49.012667
"Amblyraja_radiata"	-62.567167	48.942333
"Amblyraja_radiata"	-62.62	48.710167
"Amblyraja_radiata"	-62.855	48.527667
"Amblyraja_radiata"	-62.9345	48.470333
"Amblyraja_radiata"	-62.917167	48.7985
"Amblyraja_radiata"	-62.844333	48.832167
"Amblyraja_radiata"	-63.373667	49.224333
"Amblyraja_radiata"	-63.5955	49.001333
"Amblyraja_radiata"	-63.651833	48.866333
"Amblyraja_radiata"	-66.10413	49.803943
"Amblyraja_radiata"	-66.018606	49.938812
"Amblyraja_radiata"	-63.991613	60.780458
"Amblyraja_radiata"	-67.75533	49.29483
"Amblyraja_radiata"	-67.90617	49.28333
"Amblyraja_radiata"	-67.99783	49.27917
"Amblyraja_radiata"	-68.02417	49.27667
"Amblyraja_radiata"	-62.799667	48.439167
"Amblyraja_radiata"	-62.084833	48.3375
"Amblyraja_radiata"	-62.063833	48.481
"Amblyraja_radiata"	-61.539333	48.171667
"Amblyraja_radiata"	-61.0905	48.139667
"Amblyraja_radiata"	-60.860333	47.985167
"Amblyraja_radiata"	-60.252833	47.364833
"Amblyraja_radiata"	-60.247333	47.486833
"Amblyraja_radiata"	-60.101333	47.7005
"Amblyraja_radiata"	-60.0215	48.2395
"Amblyraja_radiata"	-59.916333	48.211167
"Amblyraja_radiata"	-59.801333	48.094
"Amblyraja_radiata"	-59.818	47.916167
"Amblyraja_radiata"	-59.538333	47.981
"Amblyraja_radiata"	-59.4155	48.0175
"Amblyraja_radiata"	-59.093667	48.315167
"Amblyraja_radiata"	-59.545833	48.637167
"Amblyraja_radiata"	-60.019167	48.428167
"Amblyraja_radiata"	-60.3875	48.506
"Amblyraja_radiata"	-60.141167	48.604833
"Amblyraja_radiata"	-58.782333	49.123
"Amblyraja_radiata"	-58.5905	49.277
"Amblyraja_radiata"	-58.648333	49.896667
"Amblyraja_radiata"	-58.479667	49.881667
"Amblyraja_radiata"	-58.0905	49.946167
"Amblyraja_radiata"	-58.227	50.0225
"Amblyraja_radiata"	-58.293333	50.140167
"Amblyraja_radiata"	-58.369	50.441333
"Amblyraja_radiata"	-58.257167	50.250833
"Amblyraja_radiata"	-57.812833	50.1455
"Amblyraja_radiata"	-57.857167	50.235833
"Amblyraja_radiata"	-57.715667	50.325833
"Amblyraja_radiata"	-57.433833	50.803833
"Amblyraja_radiata"	-57.2955	51.0245
"Amblyraja_radiata"	-59.001	49.963167
"Amblyraja_radiata"	-59.569333	49.880333
"Amblyraja_radiata"	-59.579167	49.672667
"Amblyraja_radiata"	-59.798333	49.024
"Amblyraja_radiata"	-59.951833	48.9225
"Amblyraja_radiata"	-60.990833	48.4685
"Amblyraja_radiata"	-61.3725	48.547667
"Amblyraja_radiata"	-62.151333	48.705
"Amblyraja_radiata"	-62.791167	48.796667
"Amblyraja_radiata"	-63.942333	48.877833
"Amblyraja_radiata"	-64.543333	49.2715
"Amblyraja_radiata"	-64.484	49.330167
"Amblyraja_radiata"	-64.318667	49.384167
"Amblyraja_radiata"	-64.262833	49.476667
"Amblyraja_radiata"	-64.042	49.334833
