Year,Country,GearCode,Tonnage,MainSpecies,Divcode,Code,Effort,Month_NK,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DateCreated
2009,34,10,7,13,33,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,7,13,33,118,1,0,0,0,0,41,0,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,7,13,33,109,1,0,0,0,0,0,14,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,13,34,1,1,0,46,0,25,18,0,366,33,0,0,0,0,2,15-Apr-11
2009,34,10,6,13,34,2,1,0,4,0,2,3,0,17,2,0,0,0,0,1,15-Apr-11
2009,34,10,6,13,34,3,1,0,5,0,2,3,0,20,2,0,0,0,0,1,15-Apr-11
2009,34,10,6,13,34,118,1,0,6,0,4,1,0,234,15,0,0,0,0,0,15-Apr-11
2009,34,10,6,13,34,114,1,0,3,0,0,0,0,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,13,34,112,1,0,3,0,0,1,0,0,0,0,0,0,0,14,15-Apr-11
2009,34,10,6,13,34,101,1,0,0,0,0,0,0,0,0,0,0,0,0,6,15-Apr-11
2009,34,10,6,13,34,169,1,0,0,0,0,0,0,13,1,0,0,0,0,0,15-Apr-11
2009,34,10,6,13,34,168,1,0,1,0,1,0,0,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,13,34,479,1,0,2,0,0,1,0,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,13,34,109,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15-Apr-11
2007,34,10,6,13,13,1,1,0,0,0,0,0,0,0,0,104,0,0,0,0,29-Mar-11
2007,34,10,6,13,13,2,1,0,0,0,0,0,0,0,0,6,0,0,0,0,29-Mar-11
2007,34,10,6,13,13,3,1,0,0,0,0,0,0,0,0,6,0,0,0,0,29-Mar-11
2007,34,10,6,13,13,118,1,0,0,0,0,0,0,0,0,95,0,0,0,0,29-Mar-11
2007,34,10,5,13,13,1,1,0,0,0,0,0,0,0,0,14,0,0,0,0,29-Mar-11
2007,34,10,5,13,13,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,29-Mar-11
2007,34,10,5,13,13,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,29-Mar-11
2007,34,10,5,13,13,118,1,0,0,0,0,0,0,0,0,8,0,0,0,0,29-Mar-11
2007,34,10,6,13,14,1,1,0,0,0,0,0,0,0,0,240,98,484,50,187,29-Mar-11
2007,34,10,6,13,14,2,1,0,0,0,0,0,0,0,0,13,6,28,5,12,29-Mar-11
2007,34,10,6,13,14,3,1,0,0,0,0,0,0,0,0,14,6,32,5,13,29-Mar-11
2007,34,10,6,13,14,118,1,0,0,0,0,0,0,0,0,108,44,260,14,85,29-Mar-11
2007,34,10,6,13,14,168,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29-Mar-11
2007,34,10,5,13,14,1,1,0,0,0,0,0,0,0,0,213,0,0,0,0,29-Mar-11
2007,34,10,5,13,14,2,1,0,0,0,0,0,0,0,0,13,0,0,0,0,29-Mar-11
2007,34,10,5,13,14,3,1,0,0,0,0,0,0,0,0,14,0,0,0,0,29-Mar-11
2007,34,10,5,13,14,118,1,0,0,0,0,0,0,0,0,75,0,0,0,0,29-Mar-11
2007,34,10,5,13,14,188,1,0,0,0,0,0,0,0,0,1,0,0,0,0,29-Mar-11
2007,34,13,7,3,16,1,1,0,0,0,0,0,0,0,489,238,0,0,0,0,29-Mar-11
2007,34,13,7,3,16,2,1,0,0,0,0,0,0,0,28,14,0,0,0,0,29-Mar-11
2007,34,13,7,3,16,3,1,0,0,0,0,0,0,0,31,15,0,0,0,0,29-Mar-11
2007,34,13,7,3,16,103,1,0,0,0,0,0,0,0,489,162,0,0,0,0,29-Mar-11
2007,34,13,6,3,16,1,1,0,0,0,0,0,0,0,877,264,0,0,0,0,29-Mar-11
2007,34,13,6,3,16,2,1,0,0,0,0,0,0,0,54,19,0,0,0,0,29-Mar-11
2007,34,13,6,3,16,3,1,0,0,0,0,0,0,0,56,20,0,0,0,0,29-Mar-11
2007,34,13,6,3,16,103,1,0,0,0,0,0,0,0,732,251,0,0,0,0,29-Mar-11
2007,34,13,7,3,22,1,1,0,0,0,0,0,0,0,0,182,0,0,0,0,29-Mar-11
2007,34,13,7,3,22,2,1,0,0,0,0,0,0,0,0,9,0,0,0,0,29-Mar-11
2007,34,13,7,3,22,3,1,0,0,0,0,0,0,0,0,10,0,0,0,0,29-Mar-11
2007,34,13,7,3,22,103,1,0,0,0,0,0,0,0,0,145,0,0,0,0,29-Mar-11
2007,34,13,6,3,22,1,1,0,0,0,0,0,0,0,15,14,0,0,0,0,29-Mar-11
2007,34,13,6,3,22,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,29-Mar-11
2007,34,13,6,3,22,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,29-Mar-11
2007,34,13,6,3,22,103,1,0,0,0,0,0,0,0,17,9,0,0,0,0,29-Mar-11
2007,34,13,7,3,23,1,1,0,0,0,0,0,0,0,417,466,0,0,0,0,29-Mar-11
2007,34,13,7,3,23,2,1,0,0,0,0,0,0,0,23,31,0,0,0,0,29-Mar-11
2007,34,13,7,3,23,3,1,0,0,0,0,0,0,0,24,33,0,0,0,0,29-Mar-11
2007,34,13,7,3,23,103,1,0,0,0,0,0,0,0,383,591,0,0,0,0,29-Mar-11
2007,34,13,6,3,23,1,1,0,0,0,0,0,0,0,453,915,0,0,0,0,29-Mar-11
2007,34,13,6,3,23,2,1,0,0,0,0,0,0,0,33,59,0,0,0,0,29-Mar-11
2007,34,13,6,3,23,3,1,0,0,0,0,0,0,0,36,63,0,0,0,0,29-Mar-11
2007,34,13,6,3,23,103,1,0,0,0,0,0,0,0,329,929,0,0,0,0,29-Mar-11
2007,34,10,7,13,32,1,1,0,246,427,1,0,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,7,13,32,2,1,0,20,29,1,0,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,7,13,32,3,1,0,22,32,1,0,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,7,13,32,118,1,0,162,247,6,0,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,7,13,32,188,1,0,0,1,0,0,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,13,32,1,1,0,0,0,136,587,252,0,0,40,0,0,0,20,29-Mar-11
2007,34,10,6,13,32,2,1,0,0,0,9,33,15,0,0,3,0,0,0,2,29-Mar-11
2007,34,10,6,13,32,3,1,0,0,0,10,36,16,0,0,3,0,0,0,2,29-Mar-11
2007,34,10,6,13,32,118,1,0,0,0,26,247,94,0,0,3,0,0,0,0,29-Mar-11
2007,34,10,6,13,32,114,1,0,0,0,0,1,1,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,13,32,112,1,0,0,0,1,6,2,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,13,32,105,1,0,0,0,0,1,2,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,13,32,169,1,0,0,0,0,7,11,0,0,1,0,0,0,0,29-Mar-11
2007,34,10,6,13,32,188,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,13,32,103,1,0,0,0,0,5,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,13,32,459,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,13,32,479,1,0,0,0,0,5,7,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,13,32,632,1,0,0,0,98,0,0,0,0,0,0,0,0,14,29-Mar-11
2007,34,10,6,3,33,1,1,0,0,0,27,514,45,71,7,312,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,2,1,0,0,0,2,31,3,12,2,30,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,3,1,0,0,0,2,33,3,12,2,32,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,118,1,0,0,0,8,89,14,0,0,8,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,101,1,0,0,0,0,0,0,0,0,6,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,105,1,0,0,0,0,2,1,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,169,1,0,0,0,0,16,4,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,103,1,0,0,0,0,7,0,202,25,546,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,188,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,479,1,0,0,0,0,6,1,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,199,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,3,33,632,1,0,0,0,9,64,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,99,34,1,1,0,0,0,0,446,1284,146,0,112,442,196,0,0,29-Mar-11
2007,34,10,6,99,34,2,1,0,0,0,0,25,68,11,0,7,27,11,0,0,29-Mar-11
2007,34,10,6,99,34,3,1,0,0,0,0,27,73,11,0,7,30,12,0,0,29-Mar-11
2007,34,10,6,99,34,120,1,0,0,0,0,1,3,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,99,34,118,1,0,0,0,0,133,411,53,0,6,0,0,0,0,29-Mar-11
2007,34,10,6,99,34,114,1,0,0,0,0,5,14,0,0,1,2,1,0,0,29-Mar-11
2007,34,10,6,99,34,112,1,0,0,0,0,13,26,5,0,7,17,11,0,0,29-Mar-11
2007,34,10,6,99,34,116,1,0,0,0,0,47,5,3,0,3,10,5,0,0,29-Mar-11
2007,34,10,6,99,34,101,1,0,0,0,0,0,1,0,0,8,9,9,0,0,29-Mar-11
2007,34,10,6,99,34,105,1,0,0,0,0,0,2,2,0,0,0,0,0,0,29-Mar-11
