Year,Country,Gear,Tonnage,MainSpecies,AreaCode,SpeciesEffort,Effort,Month_NK,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DateCreated
2010,3,12,1,13,31,1,1,0,0,0,0,0,0,19,0,0,35,0,0,0,2-Sep-11
2010,3,12,1,13,31,2,1,0,0,0,0,0,0,1,0,0,3,0,0,0,2-Sep-11
2010,3,12,1,13,31,3,1,0,0,0,0,0,0,1,0,0,3,0,0,0,2-Sep-11
2010,3,12,1,13,31,114,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2-Sep-11
2010,3,12,1,13,31,118,1,0,0,0,0,0,0,16,0,0,1,0,0,0,2-Sep-11
2010,3,12,3,1,37,1,1,0,0,0,0,0,0,0,0,0,0,4,105,81,2-Sep-11
2010,3,12,3,1,37,2,1,0,0,0,0,0,0,0,0,0,0,2,12,9,2-Sep-11
2010,3,12,3,1,37,3,1,0,0,0,0,0,0,0,0,0,0,2,13,9,2-Sep-11
2010,3,12,3,1,37,101,1,0,0,0,0,0,0,0,0,0,0,0,86,66,2-Sep-11
2010,3,12,3,1,37,102,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2-Sep-11
2010,3,12,3,1,37,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,1,37,106,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2-Sep-11
2010,3,12,3,1,37,112,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2-Sep-11
2010,3,12,3,1,37,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,1,37,116,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2-Sep-11
2010,3,12,3,1,37,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,1,37,186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,1,37,479,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2-Sep-11
2010,3,12,3,3,35,1,1,0,0,0,0,0,0,0,0,0,0,0,32,0,2-Sep-11
2010,3,12,3,3,35,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2-Sep-11
2010,3,12,3,3,35,3,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2-Sep-11
2010,3,12,3,3,35,103,1,0,0,0,0,0,0,0,0,0,0,0,42,0,2-Sep-11
2010,3,12,3,3,35,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,35,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,35,479,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2-Sep-11
2010,3,12,3,3,36,1,1,0,0,0,0,0,0,0,105,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,2,1,0,0,0,0,0,0,0,15,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,3,1,0,0,0,0,0,0,0,15,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,103,1,0,0,0,0,0,0,0,51,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,106,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,36,186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,37,1,1,0,0,0,0,0,0,0,45,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,37,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,37,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,37,103,1,0,0,0,0,0,0,0,19,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,37,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,37,118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,37,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,37,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,37,186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,3,3,41,1,1,0,0,0,0,0,0,19,9,66,56,0,0,0,2-Sep-11
2010,3,12,3,3,41,2,1,0,0,0,0,0,0,2,1,10,8,0,0,0,2-Sep-11
